SLNo.,CATEGORY,DESCRIPTION,CITY
0,Merrilllynch_CRA,"Use this form to transfer all or a portion of your account from another financial institution to your Merrill Lynch, Pierce, Fenner & Smith Incorporated (“Merrill Lynch”) account","Boston, MA,02210"
1,Merrilllynch_CRA,"For best results, please complete the information requested below in parts 1 to 4 using ALL CAPITAL letters and black ink. If you need more room for information or signatures, use a copy of the relevant page or a blank sheet. Use one form for each account that you’re transferring","New York, NY,10022"
2,Merrilllynch_CRA,"Many firms transfer assets using an automated transfer process, which typically takes 5 to 6 business days. Other firms either don’t use the automated process or must process some assets manually, which takes more time. The following estimated time frames for manual transfers are from the date of receipt of instructions by the delivering firm and may vary greatly","New York, NY,10173"
3,Merrilllynch_CRA,Remember to update any automatic deposits or withdrawals you’ve set up on the account you’re transferring to Merrill Lynch,"San Diego, CA,92130"
4,Merrilllynch_CRA,"Some transfers may result in tax consequences, penalties or financial risk. Consult your tax and financial professionals before requesting this transfer","Los Angeles, CA,90025"
5,Merrilllynch_CRA,"If you’re rolling over assets from a 401(k) or other employer-sponsored plan, consider all of your choices. You may be able to roll over to an IRA, roll over an old 401(k) to a 401(k) at a new employer, take a distribution or leave the account where it is, depending on your unique financial needs and retirement goals. Each choice may offer different benefits and limitations including investment options and services, fees and expenses, withdrawal options, required minimum distributions, tax treatment and protection from creditors and legal judgments. Additionally, there are limits to how often and when you can roll over your account. Please contact your 401(k) or other employer-sponsored plan administrator for help with the transfer","Dallas, TX,75201"
6,Merrilllynch_CRA,"Before indicating which assets to transfer, you should understand that assets transfer either in cash or in-kind. In-kind means assets transfer exactly as they are currently held. Examples include certificates of deposits (CDs) in brokerage accounts, mutual funds available at both institutions or other specific securities. In cash means assets are liquidated and proceeds deposited in your account, which may result in tax consequences, penalties or financial risk. Examples include CDs that are liquidated or mutual funds sold by the delivering firm. However, if a liquidation doesn’t occur before the transfer, assets will transfer in-kind","New York, NY,10017"
7,Merrilllynch_CRA,"If you are transferring mutual funds directly from the Mutual Fund Company, list the funds and the fund account numbers in the Mutual Funds and Securities section below. If you are transferring an account from a bank that holds a certificate of deposit, complete the “certificate of deposit at bank” section below. Otherwise, skip to part 4","New York, NY,10105"
8,Merrilllynch_CRA,"Most financial institutions require either written or verbal instructions from the client to liquidate assets. Please send liquidation requests directly to the delivering firm before requesting a transfer through Merrill Lynch. We do not guarantee that the delivering financial institutions will accept this document as a request to liquidate assets, including certificate of deposits at a bank. If you are transferring an account from a bank that holds a certificate of deposit, complete the “certificate of deposit at bank” section below. Otherwise, skip to part 4","Pasadena, CA,91101"
9,Merrilllynch_CRA,"Use the sections below to list the assets you want to liquidated before your account is transferred to Merrill Lynch. Most financial institutions require either written or verbal instructions from the client to liquidate assets. Please send liquidation requests directly to the delivering firm before requesting a transfer through Merrill Lynch. We do not guarantee that delivering financial institutions will accept this document as a request to liquidate assets, including certificate of deposits at a bank","Richmond, VA 23230"
10,Merrilllynch_CRA,"Use the sections below to list the assets you want to transfer to Merrill Lynch. Many firms have minimum account balance/ value requirements. To avoid a rejected transfer, please ensure that this partial transfer request does not reduce the losing account balance/value below that requirement. If you are transferring an account from a bank that holds a certificate of deposit, complete the “certificate of deposit at bank” section below. Otherwise, skip to part 4","Park Ridge, NJ,07656"
11,Merrilllynch_CRA,"££ Immediately liquidate CDs and transfer in cash. You may be charged a penalty for early withdrawal. ££ Wait to liquidate CDs and transfer in cash when CDs mature on  (MM/DD/YYYY).  For this option, submit your request at least 7 days, but no more than 14 days, before maturity to ensure that we can process this request","Boston, MA,02210"
12,Merrilllynch_CRA,"Securities include stocks, bonds, exchange traded funds, brokerage certificate of deposit, options and unit investment trusts. Provide all information, including the number of shares you want to transfer or liquidate. Write “ALL” in the quantity field if you’d like to transfer or liquidate all shares of a fund or a security","New York, NY,10017"
13,Merrilllynch_CRA,"Transfer your account to Merrill Lynch as you have instructed on this form, even though the Merrill Lynch account may have a different account title or different taxpayer identification number than the delivering account","Dallas, TX, 75201"
14,Merrilllynch_CRA,"Liquidate proprietary money market funds, if any exist, and transfer in cash to Merrill Lynch unless you instruct otherwise. Proprietary mutual funds or money market funds may not be transferrable to Merrill Lynch. You should consult your tax and financial professionals regarding any fees or tax consequences that may result from liquidations of proprietary funds","Naperville, IL, 60563"
15,Merrilllynch_CRA,"Deduct any outstanding fees from the credit balance in your account. If a credit balance does not exist or does  not cover the balance due, liquidate assets in the account to the extent necessary to satisfy the balance due","San Francisco, CA,94133"
16,Merrilllynch_CRA,Transfer any certificates or other instruments held in the firm’s physical possession in good deliverable form.  Affix any necessary tax waivers so Merrill Lynch can transfer them in its name when directed to sell them,"Austin, TX,78730"
17,Merrilllynch_CRA,"Freeze your account when this transfer is validated, which includes canceling all open orders and not accepting new orders on the transferring account (except for transactions closing option positions that expire within  seven days)","New York, NY,10151"
18,Merrilllynch_CRA,Release any requested historical information to Merrill Lynch about the account you’re transferring,"New York, NY,10152"
19,Merrilllynch_CRA,"Certain assets may not be readily transferable, with or without penalty, within the time frame required by FINRA Rule 11870, MSRB Rule G-26 or other designated authority",
20,Merrilllynch_CRA,"Certain assets may not be transferable to Merrill Lynch, such as low-priced securities and proprietary mutual funds or money market funds, and your request may be rejected. You should consult your tax and financial professionals regarding any fees or tax consequences that may result from liquidations of proprietary funds. You cannot resubmit your request until you remove non-transferable assets. For other types of non-transferable assets, you will be contacted in writing by Merrill Lynch or the delivering firm to determine how you want to dispose of such assets",
21,Merrilllynch_CRA,"Credit cards, debit cards or unused checks issued to you for the transferring account have been destroyed  or returned to the delivering firm",
22,Merrilllynch_CRA,"If transferring assets in a retirement account, none of the amount transferred includes the required minimum distribution that you are required to take this year",
23,Merrilllynch_CRA,"If transferring a retirement plan account and the delivering firm is trustee or custodian, you represent that  you have appropriately amended the plan and named Merrill Lynch as successor custodian or trustee",
24,Merrilllynch_CRA,"All account holders or authorized signers of accounts listed in Part 1 and Part 2 of this form must sign below. If an account holder’s name appears differently on either account, the owner must sign the form using all name variations (e.g., maiden name and married name)",
25,Merrilllynch_CRA,For retirement accounts only. To the prior custodian or trustee of the retirement account designated on this form for transfer: Merrill Lynch accepts the appointment as successor custodian,
26,Merrilllynch_CRA,All deliveries must include the client name and the 8-digit Merrill Lynch account number,
27,Merrilllynch_CRA,"Merrill Lynch, Pierce, Fenner & Smith Incorporated (also referred to as “MLPF&S” or “Merrill”) makes available certain investment products sponsored, managed, distributed or provided by companies that are affiliates of Bank of America Corporation (“BofA Corp.”). MLPF&S is a registered broker-dealer, Member SIPC and a wholly owned subsidiary of BofA Corp",
28,Merrilllynch_CRA,"Next, with the expertise of our Chief Investment Office, your advisor will provide a clear and informed point of view and strategies based on your needs - designing an approach that you're comfortable with",
29,Merrilllynch_CRA,"Wealth management is an ongoing process. You'll meet with your advisor often and have in-depth annual reviews, one-on-one. You can and should revisit your goals often, course correcting as needed",
30,Ameritrade Institutional,"A. Transfer from an ACAT eligible Brokerage Firm, Bank, Insurance/Annuity Co., Trust Co., or Transfer Agent – Check box for full or partial transfer. For partial transfers, list descriptions of assets and shares. Unless otherwise indicated, TD Ameritrade will transfer in full. Please note – The ACAT system does not allow for liquidation requests. To place trades, please contact your current custodian prior to submitting the transfer request. Most banks, insurance/annuity, and trust companies require original wet-ink signature mailed to TD Ameritrade",
31,Ameritrade Institutional,"When transferring from a joint account at a contra firm to an individual account at TD Ameritrade, the party losing ownership of the assets must sign section 4. If the party losing ownership does not have an account at TD Ameritrade, please attach a notarized letter of authorization signed by the party losing ownership of the assets. If the discrepancy is a result of a name change for an account owner, please provide a copy of the legal document such as a marriage certificate, divorce decree, etc. Further documentation may be required, depending on the situation",
32,Ameritrade Institutional,"If this account is a qualified retirement account, I have amended the applicable plan so that it names TD Ameritrade Clearing, Inc. as a successor custodian",
33,Ameritrade Institutional,"Unless otherwise indicated in the instructions above, please transfer all assets in my account in kind to TD Ameritrade. I understand that to the extent any assets in my account are not readily transferable, with or without penalties, such assets may not be transferred within the time frames required by applicable regulations",
34,Ameritrade Institutional,"Unless otherwise indicated in the instructions above, I authorize you to liquidate any non-transferable proprietary money market fund assets that are part of my account and transfer the resulting credit balance to TD Ameritrade Clearing, Inc. I authorize you to deduct any outstanding fees due you from the credit balance in my account. If my account does not contain a credit balance, or if the credit balance in the account is insufficient to satisfy any outstanding fees due you, I authorize you to liquidate the assets in my account to the extent necessary to satisfy that obligation",
35,Ameritrade Institutional,"Instructions to transfer securities, mutual funds, or other assets to  your TD Ameritrade Institutional account",
36,Ameritrade Institutional,Section 1 – TD Ameritrade Institutional Account Information — complete your TD Ameritrade account registration information,
37,Ameritrade Institutional,Section 2 – Delivering Firm Information — complete Delivering Firm’s account registration information,
38,Ameritrade Institutional,"Section 3 – Transfer details; see below for requirements. Depending on where the assets are coming in from, please complete section 3A or 3B",
39,Ameritrade Institutional,"A. Transfer from an ACAT eligible Brokerage Firm, Bank, Insurance/Annuity Co., Trust Co., or Transfer Agent – Check box for full or partial transfer. For partial transfers, list descriptions of assets and shares. Unless otherwise indicated, TD Ameritrade dividends and capital gains. I acknowledge that ineligible proprietary mutual funds and all no-load money market funds cannot be transferred in kind and must be liquidated by the mutual fund company",
40,Ameritrade Institutional,"Section 3A – Brokerage Firm Transfer  •  For full account transfers, complete Section 3A, then the Discrepancies of Account Name and Type Section 4 (if applicable) and sign in Section 5.   •  For partial account transfers, complete Section 3A, list description of asset, number of shares or “all,” then the Discrepancies of Account Name and Type Section 4 (if applicable) and sign in Section 5.  • If you’re transferring part of your account, list only the assets you want transferred to TD Ameritrade in section",
41,Ameritrade Institutional,"Brokerage Firm, Bank, Insurance/Annuity Co., Trust Co., or Transfer Agent  • To transfer a Money Market Account, please complete this section.  • To transfer the proceeds of a maturing CD, initiate your transfer at least two to three weeks before the maturity date",
42,Ameritrade Institutional,"To transfer the proceeds of a maturing CD, initiate your transfer at least two to three weeks before the maturity date.  • To transfer an Annuity or Life Insurance Policy, please check the appropriate box.  •  To transfer shares in book entry form, usually associated with a Dividend Reinvestment Plan, check the appropriate box. Please note: fractional shares will be liquidated and transferred as cash",
43,Ameritrade Institutional,For full transfers – indicate all and mark transfer shares “in-kind” or liquidate and send proceeds,
44,Ameritrade Institutional,"For partial transfers – list individual fund name, number of shares, transfer in-kind, or liquidate and  send proceeds.  •  Call TD Ameritrade Institutional at 800-431-3500 to make sure the mutual fund is transferable to TD Ameritrade. Over 13,000 funds are available.  •  Send a separate Transfer Form for each mutual fund company (for example, Vanguard, Fidelity, Berger, etc.) from which you’re transferring. Photocopy our form if necessary or call for additional forms",
